"sender","receiver","year","count"
"UKI5","BN","2019","1"
"ES11","EC","2016","8"
"UKL2","CA","2018","4"
"UKJ3","GB","2019","33"
"US","UKL1","2018","4"
"UKM8","SG","2017","4"
"FRL0","SE11","2021","2"
"ID","NL22","2013","6"
"BE31","ET","2015","1"
"NL32","PT11","2019","2"
"ITI3","ITC4","2015","5"
"SG","UKM8","2020","3"
"DE21","UKK2","1998","1"
"RS","PT16","2002","1"
"JP","UKN0","2006","1"
"CH02","DEA5","2016","1"
"PT16","PT11","2016","130"
"JP","EL43","2014","1"
"SE22","ZW","2012","1"
"UKM5","MX","2008","2"
"DE11","PL41","2019","1"
"KR","UKJ1","1995","1"
"UKI5","SE11","2013","4"
"UA","UKI5","2005","1"
"IE04","FRJ2","2016","1"
"EL52","SE12","2017","1"
"AT33","AT31","2010","1"
"EE00","US","2013","2"
"FI1D","DE60","2017","1"
"HU11","RU","2018","3"
"AT22","AT","2019","1"
"CA","BB","2020","1"
"AT33","BR","1995","1"
"CH01","RS","2021","1"
"IN","DE25","2018","3"
"FRI1","PA","2019","1"
"SE31","SE11","2014","6"
"FR10","FR","2014","15"
"ITH2","ITH1","2016","6"
"ITH4","ITC4","2014","2"
"BD","EE00","2018","1"
"UKJ1","UKH2","2018","5"
"ES30","ES13","2020","4"
"DE92","UKJ1","2014","1"
"ES51","ES30","2005","9"
"DE13","CH05","2018","2"
"FRC2","CH01","2017","1"
"ES30","ES51","2007","8"
"ES23","ES30","2020","9"
"PT11","PT30","2008","2"
"UKG3","KW","2010","1"
"RU","ITH5","2014","1"
"PL91","CH02","2011","1"
"NL33","DED2","2020","2"
"US","NO0A","2020","6"
"ZA","DE23","2020","1"
"DE24","DED4","2004","1"
"UKE4","CH04","2012","1"
"CH01","UKD7","2005","2"
"IN","BE10","2018","4"
"UKG1","FI1C","2016","1"
"AE","UKL1","2020","1"
"PT11","PT16","2020","134"
"UKI5","UKN0","2020","6"
"UKD7","UKE2","2003","1"
"ITH3","IT","2020","6"
"ES30","BR","2014","12"
"UKK1","BR","2018","3"
"CN","CZ01","2014","2"
"UKJ1","UKF1","1996","1"
"ITC4","SA","2020","2"
"CN","CH01","2016","11"
"NL32","UKH1","2016","2"
"JO","CY00","2019","4"
"EL64","US","2018","1"
"SE11","PL91","2020","3"
"UKI5","TW","2006","4"
"ES53","PT11","2019","1"
"PT16","PT15","2018","10"
"DE11","DE","2013","1"
"UKJ1","UKG1","2011","8"
"BE31","DE26","2020","1"
"ES30","BR","2005","3"
"SE22","SE23","2019","2"
"CA","UKM8","1965","1"
"IE05","ITI1","2020","1"
"AU","DE92","2000","1"
"NL22","DE21","2019","1"
"BE31","UKD3","2018","1"
"NL21","UKJ1","2009","1"
"CO","ES30","2017","35"
"NZ","UKH1","2012","2"
"PL21","SK","2019","1"
"UKD3","BN","1998","1"
"FRI1","IE04","2017","2"
"UKE2","MX","2009","3"
"CN","UKE3","2003","1"
"UKD4","UKG1","2020","2"
"ITF3","ES51","2018","2"
"NL32","NL22","2020","17"
"FR10","BR","2021","16"
"DZ","FR10","2016","5"
"ES23","CO","2016","9"
"NL32","NL11","2019","9"
"UKH1","UKJ1","2015","22"
"UKL1","NO08","2020","1"
"NG","UKD6","2020","2"
"CU","UKK1","2003","1"
"CH01","UKI5","2011","2"
"UKJ3","BR","2009","5"
"IN","ITC1","2016","2"
"CU","EC","2014","4"
"DEA2","HU11","2017","1"
"CO","ES61","2020","10"
"DE92","ES61","2018","1"
"DE24","DEA5","2006","1"
"CH04","CA","1969","2"
"CA","FR10","2016","8"
"UKI5","US","2016","92"
"UKD3","UKE3","2009","3"
"UA","GB","2021","1"
"FR10","EL52","2016","1"
"US","CA","2020","34"
"ES21","TN","2014","1"
"DE25","CH02","2017","1"
"GB","CN","2011","2"
"HR05","HR03","2016","19"
"UKH1","PT16","2010","1"
"PL52","PL51","2018","5"
"PT16","BR","2014","51"
"CZ07","CZ02","2018","2"
"BE10","BE31","2020","9"
"CH03","SE12","2021","2"
"ES53","ES70","2019","1"
"RU","FRK2","2016","4"
"EL43","SA","2018","2"
"CH05","AU","2019","4"
"DE21","DE","2018","14"
"BR","PT11","2017","127"
"UKH1","UKI5","2017","75"
"FI1B","NO08","2020","3"
"ITF4","ITF3","2018","5"
"ES51","US","1993","1"
"CN","FR10","2019","22"
"PL71","PL43","2018","1"
"FRK2","UKI5","2015","3"
"ITH5","ITG2","2019","2"
"CH01","CH02","2017","18"
"AU","US","2016","16"
"PL63","PL84","2007","1"
"DEA1","DEB3","2021","2"
"FR10","BR","2017","35"
"DK05","EG","2016","1"
"CA","DEA5","2017","4"
"UKC1","UKM7","2017","6"
"NL33","IE06","2018","2"
"MX","AT31","1997","1"
"ES51","CA","2019","10"
"DE11","JO","1999","1"
"NL42","CH02","2009","1"
"TH","FR10","2011","3"
"FRC1","FRK2","2016","1"
"UKJ1","US","2019","79"
"TH","UKI5","2018","3"
"BR","DEB3","2018","2"
"US","FRI1","2019","8"
"FR10","FRF3","2013","5"
"DED5","DEA2","2011","1"
"NL31","RU","2015","1"
"FI1B","IS00","2018","1"
"ES51","PK","2018","1"
"ES61","FRK2","2018","2"
"UKM7","UKF1","2021","3"
"IE06","IE05","2011","8"
"PL91","PL","1985","1"
"UKK4","UKC1","2018","2"
"UKJ2","UKJ1","2016","7"
"PL91","PL61","2018","10"
"GT","DE14","2016","1"
"UKJ2","UKI5","2021","20"
"UKM7","GB","2012","5"
"NL31","UKG3","2016","1"
"ITI4","SN","2019","1"
"HU33","CA","2018","2"
"DEF0","DE23","2017","1"
"DED2","SG","2018","1"
"EL63","EL30","2014","6"
"US","ITF3","2015","3"
"FR10","NL33","2018","10"
"DK02","DK01","2017","22"
"AU","AR","2014","1"
"DEE0","DE91","2020","1"
"NO06","NO08","2008","4"
"ITC4","DE12","2015","2"
"UKJ1","UKJ3","2019","11"
"IE06","UKI5","2016","5"
"FRH0","FRC1","2019","2"
