sender;receiver;dist
EL52;BE33;1710128.717
EL53;BE33;1662413.471
EL54;BE33;1686144.633
EL61;BE33;1768242.361
EL62;BE33;1794278.694
EL63;BE33;1889530.002
EL64;BE33;1868134.961
ITI3;BE33;973693.7148
ITI4;BE33;1086062.778
LT01;BE33;1394483.416
LT02;BE33;1315943.597
LU00;BE33;85167.29142
LV00;BE33;1437804.585
MT00;BE33;1768039.901
NL11;BE33;308274.672
NL12;BE33;283713.26
NL13;BE33;268790.3065
NL21;BE33;222280.9683
NL22;BE33;174119.6813
NL23;BE33;227116.3592
NL31;BE33;180462.2203
NL32;BE33;246237.0924
NL33;BE33;181336.6605
NL34;BE33;168709.8107
NL41;BE33;122660.8152
NL42;BE33;78730.28561
IS00;BE33;2134412.022
ITC1;BE33;627353.1399
ITC2;BE33;546078.2032
ITC3;BE33;727396.7304
ITC4;BE33;622323.4123
ITF1;BE33;1110525.926
ITF2;BE33;1193072.399
ITF3;BE33;1279414.269
ITF4;BE33;1349722.706
ITF5;BE33;1369176.125
ITF6;BE33;1513623.59
ITG1;BE33;1584776.617
ITG2;BE33;1190608.766
ITH1;BE33;594587.7752
ITH2;BE33;629195.3503
ITH3;BE33;706724.8672
UKC1;BE33;682998.6941
UKC2;BE33;738888.4574
UKD1;BE33;736965.6255
UKD3;BE33;642579.444
UKD4;BE33;677471.8486
RO11;BE33;1333389.031
RO12;BE33;1483419.822
RO21;BE33;1574707.874
RO22;BE33;1745553.375
RO31;BE33;1640390.623
RO32;BE33;1663469.377
RO41;BE33;1492320.596
RO42;BE33;1314684.617
SE11;BE33;1268328.375
SE12;BE33;1170781.328
SE21;BE33;960164.1001
SE22;BE33;822499.2217
SE23;BE33;960787.7098
SE31;BE33;1261888.265
SE32;BE33;1519532.113
SE33;BE33;1904617.124
SI03;BE33;853116.7115
SI04;BE33;791901.0231
SK01;BE33;861297.4053
SK02;BE33;918821.2004
SK03;BE33;998205.0664
SK04;BE33;1124248.389
DEB1;BE33;129003.5529
DEB2;BE33;90326.3414
DEB3;BE33;195606.9483
DEC0;BE33;150435.2306
DED2;BE33;592978.2163
DED4;BE33;500183.9129
DED5;BE33;493815.6936
DEE0;BE33;446253.2124
DEF0;BE33;489349.4984
DEG0;BE33;373190.5321
DK01;BE33;736311.5295
DK02;BE33;669193.3276
PL63;BE33;923120.5575
PL71;BE33;961248.8049
PL72;BE33;1059054.279
UKD6;BE33;641333.8798
UKD7;BE33;671639.9738
UKE1;BE33;562249.6318
UKE2;BE33;633875.0049
UKE3;BE33;586873.4834
UKE4;BE33;621704.1347
UKF1;BE33;569466.1412
UKF2;BE33;513472.7446
UKF3;BE33;503574.013
UKG1;BE33;579908.7343
UKG2;BE33;614565.5313
UKG3;BE33;575258.1853
UKH1;BE33;410082.2151
UKH2;BE33;451169.1138
UKH3;BE33;394743.1465
UKI0;BE33;428874.6044
