nuts2;year;flow_in;flow_out;gdp;score;ted;edu_index
CZ01;2018;3358;3543;92035.47168;0.008;22.72874876;0.966
CZ01;2019;677;567;95035.06264;0.004;22.42685596;0.965
CZ01;2020;648;546;90461.22925;0.012;22.664806;0.977119863
CZ02;2009;9;4;25237.73559;0;18.12668855;0.748
CZ02;2010;1;0;24722.01162;0;18.46665438;0.756
CZ02;2011;7;3;26230.5367;0;18.56110844;0.761
CZ02;2012;14;18;26423.62824;0;19.06463433;0.759
CZ02;2013;4;1;27168.59535;0;19.08706088;0.777
CZ02;2014;27;7;29252.22782;0;19.27915763;0.786
CZ02;2015;48;2;30319.85879;0;18.65234066;0.785
CZ02;2016;3;3;32874.69586;0;18.55111599;0.779
CZ02;2017;109;32;35430.3622;0;18.96507043;0.779
CZ02;2018;34;24;36564.88265;0;18.89889658;0.78
CZ02;2019;14;4;39394.87639;0;19.23941024;0.78
CZ02;2020;5;20;37260.91823;0;18.83817943;0.794424114
CZ03;2009;3;4;24072.91703;0;18.33210141;0.839
CZ03;2010;2;2;24164.37226;0;18.77251092;0.846
CZ03;2011;25;19;25122.20416;0;18.87906855;0.851
CZ03;2012;5;5;25102.44683;0;18.5450982;0.85
CZ03;2013;6;9;26763.09392;0;19.1141872;0.87
CZ03;2014;14;11;28168.81197;0;18.6576559;0.875
CZ03;2015;14;11;29056.53134;0;18.77958666;0.877
CZ03;2016;344;259;30726.02293;0;18.73356033;0.874
CZ03;2017;34;9;33308.78362;0;18.81141422;0.874
CZ03;2018;71;24;34902.84253;0;19.35203717;0.872
CZ03;2019;66;50;35942.74805;0;19.82385978;0.873
CZ03;2020;150;121;35190.86721;0;20.00049814;0.883831976
CZ04;2009;2;3;21549.14347;0;18.71281656;0.777
CZ04;2010;1;0;21004.41589;0;19.51557559;0.785
CZ04;2011;4;2;21612.48446;0;19.09078342;0.79
CZ04;2012;1;0;21705.1232;0;18.76244993;0.788
CZ04;2013;17;0;22505.32898;0;19.58955023;0.806
CZ04;2014;4;13;23401.78225;0;19.50301322;0.816
CZ04;2015;14;18;24424.33069;0;19.80790336;0.814
