"sender","receiver","year","ted_send","score_send","gdp_send","edu_send","r3score_send","ted_rec","score_rec","gdp_rec","edu_rec","r3score_rec","dist","count"
"NL","CZ",2019,27.7350226043696,0.136,59004.3249664016,0.944,0.514256318131647,22.8572212947393,0.004,42847.0047376207,0.9,0.15874010519682,737588.2428,5
"NL","CZ",2020,23.4997897211768,0.144,59266.9085805339,0.948729755766629,0.524148278841779,23.0757500060131,0.012,41608.0253519702,0.905277670692408,0.228942848510666,737588.2428,4
"NL","DE",2009,21.2172404897985,0.164,44556.9211528341,0.912,0.547370367479843,23.6537282094766,0.272,36815.8440540696,0.923,0.647922360255497,356425.4713,5
"NL","DE",2010,21.7359930493682,0.144,45043.9042332404,0.917,0.524148278841779,23.4885451188247,0.304,38952.6946021004,0.928,0.672395081359793,356425.4713,12
"NL","DE",2011,21.8257423934517,0.136,46599.02103045,0.928,0.514256318131647,23.4871481396023,0.296,42541.5310884096,0.933,0.666444370329191,356425.4713,9
"NL","DE",2012,22.0314315452667,0.148,47272.1030187972,0.929,0.528957247269421,23.614175945023,0.272,43359.6148271723,0.935,0.647922360255497,356425.4713,27
"NL","DE",2013,21.8296057754383,0.172,49241.5178406305,0.93,0.556129776652124,23.6697732365105,0.276,44993.8927459315,0.934,0.651083007152643,356425.4713,22
"NL","DE",2014,22.2636965801563,0.192,49233.2153954401,0.932,0.576899828122963,23.5159677266314,0.268,47011.5510935131,0.936,0.644730572726691,356425.4713,36
"NL","DE",2015,22.7257663768372,0.192,50288.5913949377,0.935,0.576899828122963,24.342019332453,0.272,47609.7810045816,0.938,0.647922360255497,356425.4713,35
"NL","DE",2016,22.8132828360285,0.16,52288.4150841353,0.936,0.542883523318981,23.9478369006474,0.252,50579.6839299266,0.941,0.631635959765638,356425.4713,60
"NL","DE",2017,23.094422140359,0.124,55088.6338006744,0.939,0.498663095223865,24.0785391396411,0.22,53071.4555699913,0.943,0.603681073679769,356425.4713,79
"NL","DE",2018,23.2525022340684,0.124,57826.6284976675,0.941,0.498663095223865,24.1827272986322,0.22,55235.366304833,0.946,0.603681073679769,356425.4713,80
"NL","DE",2019,27.7350226043696,0.136,59004.3249664016,0.944,0.514256318131647,31.8943338160733,0.208,55652.8874913932,0.948,0.592499213681474,356425.4713,104
"NL","DE",2020,23.4997897211768,0.144,59266.9085805339,0.948729755766629,0.524148278841779,31.3210361031904,0.208,54844.5459733622,0.949785435993905,0.592499213681474,356425.4713,109
"NL","DK",2009,21.2172404897985,0.164,44556.9211528341,0.912,0.547370367479843,22.6653295137331,0.052,40331.4068810678,0.913,0.373251115681725,496635.0487,1
"NL","DK",2010,21.7359930493682,0.144,45043.9042332404,0.917,0.524148278841779,22.6815076579005,0.076,43003.0545921155,0.917,0.423582358425489,496635.0487,4
"NL","DK",2011,21.8257423934517,0.136,46599.02103045,0.928,0.514256318131647,22.5566716977301,0.056,44403.3848413929,0.929,0.382586236554478,496635.0487,2
"NL","DK",2012,22.0314315452667,0.148,47272.1030187972,0.929,0.528957247269421,23.0438028371936,0.056,44803.9682421214,0.932,0.382586236554478,496635.0487,2
"NL","DK",2013,21.8296057754383,0.172,49241.5178406305,0.93,0.556129776652124,22.9774510957577,0.076,46726.8541437832,0.934,0.423582358425489,496635.0487,5
"NL","DK",2014,22.2636965801563,0.192,49233.2153954401,0.932,0.576899828122963,22.9138558249956,0.076,47901.4473627066,0.935,0.423582358425489,496635.0487,6
"NL","DK",2015,22.7257663768372,0.192,50288.5913949377,0.935,0.576899828122963,23.1143252187357,0.076,49045.3391904109,0.933,0.423582358425489,496635.0487,8
"NL","DK",2016,22.8132828360285,0.16,52288.4150841353,0.936,0.542883523318981,23.3111592547497,0.044,51976.0057060956,0.935,0.353034833532606,496635.0487,12
"NL","DK",2017,23.094422140359,0.124,55088.6338006744,0.939,0.498663095223865,23.0242850796465,0.044,55356.680780178,0.937,0.353034833532606,496635.0487,13
"NL","DK",2018,23.2525022340684,0.124,57826.6284976675,0.941,0.498663095223865,23.2830568773443,0.044,57482.9623999067,0.938,0.353034833532606,496635.0487,20
"NL","DK",2019,27.7350226043696,0.136,59004.3249664016,0.944,0.514256318131647,23.4477721654131,0.044,58700.9746656312,0.94,0.353034833532606,496635.0487,12
"NL","DK",2020,23.4997897211768,0.144,59266.9085805339,0.948729755766629,0.524148278841779,23.6090573117275,0.044,60229.9147703017,0.942790840340602,0.353034833532606,496635.0487,12
"NL","EE",2009,21.2172404897985,0.164,44556.9211528341,0.912,0.547370367479843,21.6516009978396,0,20477.8524315004,0.846,0,1452603.941,0
"NL","EE",2010,21.7359930493682,0.144,45043.9042332404,0.917,0.524148278841779,21.0984771070368,0,21619.4545478307,0.852,0,1452603.941,0
"NL","EE",2011,21.8257423934517,0.136,46599.02103045,0.928,0.514256318131647,21.5032421035516,0,24557.2361475947,0.86,0,1452603.941,0
"NL","EE",2012,22.0314315452667,0.148,47272.1030187972,0.929,0.528957247269421,20.9827813764858,0,25996.0467779508,0.865,0,1452603.941,0
"NL","EE",2013,21.8296057754383,0.172,49241.5178406305,0.93,0.556129776652124,20.816280788893,0.008,27464.5186781161,0.87,0.2,1452603.941,1
"NL","EE",2014,22.2636965801563,0.192,49233.2153954401,0.932,0.576899828122963,21.264323478119,0.004,28945.4653303277,0.871,0.15874010519682,1452603.941,0
"NL","EE",2015,22.7257663768372,0.192,50288.5913949377,0.935,0.576899828122963,20.5892022115064,0.004,29175.9259267894,0.877,0.15874010519682,1452603.941,0
"NL","EE",2016,22.8132828360285,0.16,52288.4150841353,0.936,0.542883523318981,21.0548335067329,0.004,31312.7522996878,0.882,0.15874010519682,1452603.941,1
"NL","EE",2017,23.094422140359,0.124,55088.6338006744,0.939,0.498663095223865,20.9910547317658,0.004,33821.93290847,0.885,0.15874010519682,1452603.941,2
"NL","EE",2018,23.2525022340684,0.124,57826.6284976675,0.941,0.498663095223865,20.7491192681505,0.004,36249.3581462876,0.89,0.15874010519682,1452603.941,2
"NL","EE",2019,27.7350226043696,0.136,59004.3249664016,0.944,0.514256318131647,21.492291875627,0.004,37851.3007726135,0.892,0.15874010519682,1452603.941,0
"NL","EE",2020,23.4997897211768,0.144,59266.9085805339,0.948729755766629,0.524148278841779,21.2583994431255,0.004,37645.2213607112,0.899717929599235,0.15874010519682,1452603.941,0
"NL","EL",2009,21.2172404897985,0.164,44556.9211528341,0.912,0.547370367479843,22.2382687223718,0.016,30359.1494613318,0.867,0.251984209978975,1927375.161,1
"NL","EL",2010,21.7359930493682,0.144,45043.9042332404,0.917,0.524148278841779,20.312902710517,0.02,27913.0891911748,0.865,0.271441761659491,1927375.161,1
